,Estação,Md_temp_max,Md_temp_min,Md_temp,Md_ur_max,Md_ur_min,MD_ur,Md_prec
0,Parque Estadual Chandless-A102,57.54368279569893,57.54368279569893,57.54368279569893,57.54368279569893,57.54368279569893,57.54368279569893,69.87567204301075
1,Rio Branco-A104,39.11090458488228,39.11090458488228,38.90954151177199,43.339529120198264,45.57001239157373,45.21375464684015,50.4182156133829
2,Porto Walter-A136,7.4884792626728105,7.4884792626728105,7.4884792626728105,7.4884792626728105,7.4884792626728105,7.4884792626728105,50.34562211981567
3,Marechal Thaumaturgo-A137,31.912442396313363,31.912442396313363,31.912442396313363,57.14285714285714,57.14285714285714,57.14285714285714,31.912442396313363
4,Feijó-A138,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
5,Epitaciolândia-A140,0.748847926267281,0.748847926267281,0.6912442396313364,8.026113671274961,8.026113671274961,7.891705069124424,14.976958525345621
6,Manaus-A101,22.343453510436433,22.35135989879823,22.232764073371282,22.35135989879823,22.35135989879823,22.24067046173308,22.24067046173308
7,Eirunepé-A109,23.891129032258064,23.891129032258064,23.823924731182796,25.0,25.0,25.0,23.823924731182796
8,Boca do Acre-A110,26.10062893081761,26.10062893081761,26.10062893081761,30.974842767295595,32.075471698113205,31.650943396226417,37.0125786163522
9,Lábrea-A111,12.303149606299213,12.303149606299213,12.188320209973753,12.303149606299213,12.303149606299213,12.188320209973753,13.270997375328083
10,Humaitá-A112,33.27359617682198,33.27359617682198,33.258661887694146,33.27359617682198,33.27359617682198,33.258661887694146,33.258661887694146
11,Apui-A113,4.116666666666666,4.116666666666666,3.966666666666667,3.883333333333333,3.883333333333333,3.733333333333334,53.333333333333336
12,Coari-A117,11.977299880525687,11.977299880525687,11.932497013142175,11.977299880525687,11.977299880525687,11.932497013142175,11.932497013142175
13,Manacapuru-A119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Autazes-A120,12.470131421744325,12.470131421744325,12.470131421744325,23.581242532855438,23.581242532855438,23.581242532855438,12.470131421744325
15,Itacoatiara-A121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Maués-A122,0.7168458781362007,0.7168458781362007,0.7168458781362007,1.568100358422939,1.568100358422939,1.4934289127837514,0.7168458781362007
17,Parintins-A123,15.456989247311828,15.456989247311828,15.412186379928317,15.456989247311828,15.456989247311828,15.412186379928317,15.412186379928317
18,Urucará-A124,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
19,Rio Urubu-A125,0.35842293906810035,0.35842293906810035,0.35842293906810035,0.35842293906810035,0.35842293906810035,0.35842293906810035,0.35842293906810035
20,Presidente Figueiredo-A126,9.67741935483871,9.67741935483871,9.67741935483871,9.67741935483871,9.67741935483871,9.67741935483871,9.67741935483871
21,Barcelos-A128,18.473715651135006,18.473715651135006,18.473715651135006,21.594982078853047,21.594982078853047,21.44563918757467,18.45878136200717
22,Manicore-A133,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332
