,Estação,Md_temp_max,Md_temp_min,Md_temp,Md_ur_max,Md_ur_min,MD_ur,Md_prec
0,Parque Estadual Chandless-A102,67.5739247311828,67.5739247311828,67.5739247311828,67.5739247311828,67.5739247311828,67.5739247311828,67.5739247311828
1,Rio Branco-A104,26.428091397849464,26.428091397849464,26.293682795698924,38.928091397849464,38.928091397849464,38.79368279569893,26.293682795698924
2,Porto Walter-A136,0.24961597542242703,0.24961597542242703,0.24961597542242703,0.24961597542242703,0.24961597542242703,0.24961597542242703,43.10675883256528
3,Marechal Thaumaturgo-A137,28.59062980030722,28.59062980030722,28.59062980030722,57.14285714285714,57.14285714285714,57.14285714285714,28.59062980030722
4,Feijó-A138,0.09600614439324116,0.09600614439324116,0.09600614439324116,14.381720430107528,14.381720430107528,14.381720430107528,14.36251920122888
5,Epitaciolândia-A140,0.0576036866359447,0.0576036866359447,0.0576036866359447,7.469278033794163,7.469278033794163,7.27726574500768,14.343317972350231
6,Manaus-A101,20.223185613359025,20.223185613359025,19.861913937058446,20.303468208092486,20.303468208092486,19.942196531791907,20.488118175979448
7,Eirunepé-A109,10.81989247311828,10.81989247311828,10.81989247311828,35.81989247311828,35.81989247311828,35.81989247311828,10.81989247311828
8,Boca do Acre-A110,24.495967741935484,24.495967741935484,24.445564516129032,36.99596774193548,36.99596774193548,36.94556451612903,55.141129032258064
9,Lábrea-A111,14.180107526881722,14.180107526881722,14.129704301075268,14.180107526881722,14.180107526881722,14.129704301075268,14.129704301075268
10,Humaitá-A112,39.247311827956985,39.247311827956985,39.21744324970131,39.247311827956985,39.247311827956985,39.21744324970131,39.21744324970131
11,Apui-A113,7.69489247311828,7.69489247311828,7.644489247311828,7.69489247311828,7.69489247311828,7.644489247311828,45.144489247311824
12,Coari-A117,11.842891278375149,11.842891278375149,11.827956989247312,11.842891278375149,11.842891278375149,11.827956989247312,11.827956989247312
13,Manacapuru-A119,0.25388291517323774,0.25388291517323774,0.2240143369175627,0.25388291517323774,0.25388291517323774,0.2240143369175627,0.2240143369175627
14,Autazes-A120,11.275388291517324,11.275388291517324,11.275388291517324,22.371565113500598,22.371565113500598,22.371565113500598,11.275388291517324
15,Itacoatiara-A121,0.2986857825567503,0.2986857825567503,0.2837514934289128,0.2986857825567503,0.2986857825567503,0.2837514934289128,0.2837514934289128
16,Maués-A122,12.455197132616487,12.455197132616487,12.455197132616487,12.6194743130227,12.6194743130227,12.604540023894861,12.455197132616487
17,Parintins-A123,2.9121863799283156,2.9121863799283156,2.897252090800478,2.9121863799283156,2.9121863799283156,2.897252090800478,14.008363201911589
18,Urucará-A124,10.185185185185185,10.185185185185185,10.170250896057349,10.722819593787335,10.722819593787335,10.678016726403824,21.281362007168457
19,Rio Urubu-A125,2.486559139784946,2.486559139784946,2.486559139784946,2.486559139784946,2.486559139784946,2.486559139784946,2.486559139784946
20,Presidente Figueiredo-A126,9.19952210274791,9.19952210274791,9.184587813620073,9.19952210274791,9.19952210274791,9.184587813620073,9.184587813620073
21,Barcelos-A128,11.126045400238949,11.126045400238949,11.126045400238949,17.36857825567503,17.36857825567503,17.174432497013143,22.237156511350058
22,Manicore-A133,20.0,20.0,20.0,20.0,20.0,20.0,20.0
23,São Gabriel da Cachoeira-A134,20.0,20.0,20.0,20.0,20.0,20.0,20.0
24,Oiapoque-A242,19.749663978494624,19.749663978494624,19.640456989247312,23.336693548387096,23.336693548387096,23.135080645161292,30.241935483870968
25,Tartarugalzinho-A243,23.353494623655912,23.353494623655912,23.118279569892472,23.90793010752688,23.90793010752688,23.68951612903226,23.118279569892472
26,Macapá-A249,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
27,Belém-A201,25.235215053763444,25.235215053763444,25.105606758832565,25.235215053763444,25.235215053763444,25.105606758832565,25.70084485407066
28,Castanhal-A202,14.372119815668203,14.372119815668203,14.372119815668203,23.127880184331797,23.20468509984639,22.791858678955453,22.254224270353305
29,Medicilandia-A209,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515,11.126045400238949
30,Pacajá-A210,26.209677419354836,26.209677419354836,25.477897252090802,26.209677419354836,26.209677419354836,25.477897252090802,46.83393070489845
31,Placas-A211,17.30884109916368,17.30884109916368,17.30884109916368,17.30884109916368,17.30884109916368,17.30884109916368,28.41995221027479
32,Paragominas-A212,0.07467144563918758,0.07467144563918758,0.07467144563918758,0.07467144563918758,0.07467144563918758,0.07467144563918758,14.411589008363201
33,Tomé Açu-A213,23.282556750298685,23.282556750298685,23.25268817204301,24.94026284348865,24.94026284348865,24.8805256869773,23.640979689366787
34,Rondon do Pará-A214,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515,0.014934289127837515
35,Salinópolis-A215,4.250672043010752,4.250672043010752,4.250672043010752,4.250672043010752,4.250672043010752,4.250672043010752,4.26747311827957
36,Bragança-A226,18.75746714456392,18.75746714456392,18.428912783751493,18.75746714456392,18.75746714456392,18.428912783751493,18.71266427718041
37,Soure-A227,10.63321385902031,10.63321385902031,10.63321385902031,10.63321385902031,10.63321385902031,10.63321385902031,10.63321385902031
38,Tucuruí-A229,0.02986857825567503,0.02986857825567503,0.02986857825567503,2.5686977299880525,2.5686977299880525,2.4193548387096775,0.05973715651135006
39,Serra dos Carajás-A230,12.651209677419356,12.651209677419356,12.651209677419356,12.651209677419356,12.651209677419356,12.651209677419356,16.280241935483872
